mode,method_name,budget_mode,compression_mode,query_id,docs_used,prompt_tokens,completion_tokens,total_tokens,token_source,generation_time_ms,answer_f1,answer_coverage,semantic_similarity,ndcg_at_10,mrr_at_10,selected_doc_ids,answer,fallback_used,fallback_reason,first_pass_tokens,fallback_tokens
fixed_top10_full,Fixed Top-10,fixed_top10,full,249,10,2740,53,2793,provider,2736,0.367347,0.666667,0.562183,0.430677,0.25,"[""23369842"", ""25050364"", ""9796495"", ""1568684"", ""21993510"", ""45154987"", ""1590744"", ""38533515"", ""14865329"", ""13441037""]","The evidence is insufficient to conclude that Chenodeosycholic acid treatment reduces whole-body energy expenditure. In fact, Document 4 suggests the opposite: that Chenodeoxycholic acid (CDCA) treatment increases whole-body energy expenditure in healthy female subjects.",False,,0,0
adaptive_compact_only,Adaptive Compact Only,adaptive_budget,evidence_ngram_neighbors,249,3,611,31,642,provider,1294,0.432432,0.583333,0.50637,0.0,0.0,"[""23369842"", ""25050364"", ""9796495""]",The evidence is insufficient. The provided documents do not contain any information about Chenodeosycholic acid treatment or its effects on whole-body energy expenditure.,False,,0,0
adaptive_full_only,Adaptive Full Only,adaptive_budget,full,249,3,1082,37,1119,provider,2065,0.410256,0.583333,0.516398,0.0,0.0,"[""23369842"", ""25050364"", ""9796495""]",The evidence is insufficient to answer the question about whether Chenodeosycholic acid treatment reduces whole-body energy expenditure. None of the provided documents mention Chenodeosycholic acid.,False,,0,0
fixed_top5_compact_fallback,Fixed Top-5 Compact + Fallback,fixed_top5,compact_then_full_fallback,249,5,878,71,949,provider,2268,0.333333,0.833333,0.648749,0.430677,0.25,"[""23369842"", ""25050364"", ""9796495"", ""1568684"", ""21993510""]","The evidence is insufficient to support the statement that Chenodeosycholic acid treatment reduces whole-body energy expenditure. In fact, Document 4 suggests the opposite, stating that ""Whole-body energy expenditure was also increased upon CDCA treatment."" This indicates that Chenodeosycholic acid treatment may actually increase whole-body energy expenditure, rather than reduce it.",False,,949,0
full_safe_adaptive,Full Safe Adaptive Context,safe_adaptive,compact_then_full_fallback,249,3,611,28,639,provider,1045,0.470588,0.583333,0.538382,0.0,0.0,"[""23369842"", ""25050364"", ""9796495""]",The evidence is insufficient. The provided documents do not mention Chenodeosycholic acid treatment or its effects on whole-body energy expenditure.,False,,639,0
fixed_top10_full,Fixed Top-10,fixed_top10,full,261,10,3791,80,3871,provider,2739,0.26087,0.75,0.552134,0.0,0.0,"[""46743299"", ""32322418"", ""8604837"", ""53779698"", ""17097974"", ""7198295"", ""25301182"", ""25822299"", ""25761154"", ""69045262""]","The provided documents contain evidence to support the statement that chronic aerobic exercise alters endothelial function, improving vasodilating mechanisms mediated by NO.

Document 1 states that chronic exercise upregulates endothelial nitric oxide synthase (eNOS) gene expression, which is responsible for producing NO, a potent vasodilator. Document 2 reports that moderate regular exercise increases basal production of nit",False,,0,0
adaptive_compact_only,Adaptive Compact Only,adaptive_budget,evidence_ngram_neighbors,261,3,542,80,622,provider,2228,0.290323,0.75,0.522976,0.0,0.0,"[""46743299"", ""32322418"", ""8604837""]","The evidence suggests that chronic aerobic exercise alters endothelial function, improving vasodilating mechanisms mediated by NO. 

Document 1 states that ""chronic exercise upregulates endothelial nitric oxide synthase (eNOS) gene expression"" and ""chronic exercise increases both iNOS and eNOS gene expression in endothelium"", which indicates an increase in NO production. Additionally",False,,0,0
adaptive_full_only,Adaptive Full Only,adaptive_budget,full,261,3,1012,80,1092,provider,2262,0.253968,0.666667,0.487177,0.0,0.0,"[""46743299"", ""32322418"", ""8604837""]","The provided documents support the statement that chronic aerobic exercise alters endothelial function, improving vasodilating mechanisms mediated by NO. 

Document 1 shows that chronic exercise upregulates endothelial nitric oxide synthase (eNOS) gene expression and increases inducible nitric oxide synthase (iNOS) gene expression in endothelial cells, leading to increased NO release. 

Document",False,,0,0
fixed_top5_compact_fallback,Fixed Top-5 Compact + Fallback,fixed_top5,compact_then_full_fallback,261,5,896,80,976,provider,2259,0.290323,0.75,0.591444,0.0,0.0,"[""46743299"", ""32322418"", ""8604837"", ""53779698"", ""17097974""]","The evidence suggests that chronic aerobic exercise alters endothelial function, improving vasodilating mechanisms mediated by NO. 

Document 1 states that ""chronic exercise upregulates endothelial nitric oxide synthase (eNOS) gene expression"" and ""chronic exercise blunted phenylephrine-induced vascular responses, probably by increasing NO release via iNOS."" This indicates that chronic exercise",False,,976,0
full_safe_adaptive,Full Safe Adaptive Context,safe_adaptive,compact_then_full_fallback,261,3,542,80,622,provider,2282,0.295082,0.75,0.526361,0.0,0.0,"[""46743299"", ""32322418"", ""8604837""]","The evidence suggests that chronic aerobic exercise alters endothelial function, improving vasodilating mechanisms mediated by NO. 

Document 1 states that ""chronic exercise upregulates endothelial nitric oxide synthase (eNOS) gene expression"" and ""chronic exercise increases both iNOS and eNOS gene expression in endothelium"", which leads to increased NO release. 

Document",False,,622,0
fixed_top10_full,Fixed Top-10,fixed_top10,full,275,10,3900,80,3980,provider,2883,0.3,0.692308,0.384371,0.469279,1.0,"[""4961038"", ""17462437"", ""85665741"", ""4320424"", ""36310858"", ""3210545"", ""24190159"", ""4920376"", ""41650417"", ""11200685""]","The evidence from the provided documents suggests that combining phosphatidylinositide 3-kinase (PI3K) and MEK 1/2 inhibitors is effective at treating KRAS mutant tumors. 

Document 1 states that ""when NVP-BEZ235 was combined with a mitogen-activated protein kinase kinase (MEK) inhibitor, ARRY-142886, there was",False,,0,0
adaptive_compact_only,Adaptive Compact Only,adaptive_budget,evidence_ngram_neighbors,275,3,1102,80,1182,provider,2470,0.290323,0.692308,0.440488,0.469279,1.0,"[""4961038"", ""17462437"", ""85665741""]","The evidence from Document 1 suggests that combining phosphatidylinositide 3-kinase (PI3K) and MEK 1/2 inhibitors is effective at treating KRAS mutant tumors. The study found that when a PI3K inhibitor (NVP-BEZ235) was combined with a MEK inhibitor (ARRY-142886), there was marked synergy in shrinking KRAS",False,,0,0
adaptive_full_only,Adaptive Full Only,adaptive_budget,full,275,3,1461,80,1541,provider,2480,0.333333,0.769231,0.497155,0.469279,1.0,"[""4961038"", ""17462437"", ""85665741""]","The evidence suggests that combining phosphatidylinositide 3-kinase (PI3K) and MEK 1/2 inhibitors is effective at treating KRAS mutant tumors. According to Document 1, when a PI3K inhibitor (NVP-BEZ235) was combined with a MEK inhibitor (ARRY-142886), there was marked synergy in shrinking KRAS-mut",False,,0,0
fixed_top5_compact_fallback,Fixed Top-5 Compact + Fallback,fixed_top5,compact_then_full_fallback,275,5,1640,80,1720,provider,3186,0.290323,0.692308,0.440488,0.469279,1.0,"[""4961038"", ""17462437"", ""85665741"", ""4320424"", ""36310858""]","The evidence from Document 1 suggests that combining phosphatidylinositide 3-kinase (PI3K) and MEK 1/2 inhibitors is effective at treating KRAS mutant tumors. The study found that when a PI3K inhibitor (NVP-BEZ235) was combined with a MEK inhibitor (ARRY-142886), there was marked synergy in shrinking KRAS",False,,1720,0
full_safe_adaptive,Full Safe Adaptive Context,safe_adaptive,compact_then_full_fallback,275,3,1102,80,1182,provider,4418,0.290323,0.692308,0.440488,0.469279,1.0,"[""4961038"", ""17462437"", ""85665741""]","The evidence from Document 1 suggests that combining phosphatidylinositide 3-kinase (PI3K) and MEK 1/2 inhibitors is effective at treating KRAS mutant tumors. The study found that when a PI3K inhibitor (NVP-BEZ235) was combined with a MEK inhibitor (ARRY-142886), there was marked synergy in shrinking KRAS",False,,1182,0
fixed_top10_full,Fixed Top-10,fixed_top10,full,279,10,2924,80,3004,provider,6676,0.375,0.733333,0.587137,1.0,1.0,"[""14376683"", ""83667891"", ""37677954"", ""46193478"", ""14185503"", ""25799020"", ""7211056"", ""37249641"", ""7451018"", ""6903077""]","The evidence is insufficient to confirm that Commelina yellow mottle virus' (ComYMV) genome consists of 7489 base pairs, as the provided documents mention ""CoYMV"" (Commelina mellow mottle virus) instead of ""ComYMV"". However, Document 1 does state that the genome of CoYMV is 7489 bp in size. Without further",False,,0,0
adaptive_compact_only,Adaptive Compact Only,adaptive_budget,evidence_ngram_neighbors,279,3,510,60,570,provider,3494,0.421053,0.733333,0.604708,1.0,1.0,"[""14376683"", ""83667891"", ""37677954""]","The evidence is sufficient to confirm that Commelina yellow mottle virus' (ComYMV) genome consists of 7489 base pairs. This information is found in Document 1, which states: ""Analysis of the genome sequence indicates that the genome is 7489 bp in size...""",False,,0,0
adaptive_full_only,Adaptive Full Only,adaptive_budget,full,279,3,1124,80,1204,provider,2381,0.333333,0.733333,0.589768,1.0,1.0,"[""14376683"", ""83667891"", ""37677954""]","The evidence is insufficient to confirm that Commelina yellow mottle virus' (ComYMV) genome consists of 7489 base pairs, as the documents provided refer to Commelina yellow mottle virus as ""CoYMV"" or do not mention it at all, but one document does mention that the genome of CoYMV is 7489 bp in size. Without further confirmation that",False,,0,0
fixed_top5_compact_fallback,Fixed Top-5 Compact + Fallback,fixed_top5,compact_then_full_fallback,279,5,800,31,831,provider,1343,0.484848,0.533333,0.514496,1.0,1.0,"[""14376683"", ""83667891"", ""37677954"", ""46193478"", ""14185503""]","The Commelina yellow mottle virus' (ComYMV) genome consists of 7489 base pairs, as stated in Document 1.",False,,831,0
full_safe_adaptive,Full Safe Adaptive Context,safe_adaptive,compact_then_full_fallback,279,3,510,73,583,provider,2983,0.360656,0.666667,0.62706,1.0,1.0,"[""14376683"", ""83667891"", ""37677954""]","The evidence is sufficient to answer the question. According to Document 1, the genome of Commelina yellow mottle virus (ComYMV) consists of 7489 base pairs. Therefore, the answer to the question is: Yes, Commelina yellow mottle virus' (ComYMV) genome indeed consists of 7489 base pairs.",False,,583,0
fixed_top10_full,Fixed Top-10,fixed_top10,full,294,10,2422,80,2502,provider,2784,0.115942,1.0,0.318182,0.333333,0.142857,"[""13949015"", ""10086360"", ""32638085"", ""25799020"", ""9704467"", ""21170174"", ""10874408"", ""13613916"", ""16237005"", ""4414481""]","The evidence is insufficient. The provided documents do not contain enough information to confirm or deny that crossover hot spots are not found within gene promoters in Saccharomyces cerevisiae. While some documents discuss meiotic recombination, crossover hot spots, and gene promoters, none of them provide a direct statement or evidence regarding the presence or absence of crossover hot spots within gene promoters in Saccharomyces cere",False,,0,0
adaptive_compact_only,Adaptive Compact Only,adaptive_budget,evidence_ngram_neighbors,294,3,580,80,660,provider,2676,0.137931,1.0,0.33541,0.0,0.0,"[""13949015"", ""10086360"", ""32638085""]","The evidence is insufficient. The provided documents do not contain information about crossover hot spots in Saccharomyces cerevisiae, specifically regarding their location in relation to gene promoters. While Document 3 mentions Saccharomyces cerevisiae, it discusses histone acetylation and deacetylation, not crossover hot spots. Documents 1 and 2 discuss different topics unrelated to the question.",False,,0,0
adaptive_full_only,Adaptive Full Only,adaptive_budget,full,294,3,732,80,812,provider,2271,0.135593,1.0,0.314485,0.0,0.0,"[""13949015"", ""10086360"", ""32638085""]","The evidence is insufficient. The provided documents do not contain information about crossover hot spots in relation to gene promoters in Saccharomyces cerevisiae. Document 3 discusses histone acetylation and deacetylation in yeast, but it does not mention crossover hot spots. Documents 1 and 2 are unrelated to Saccharomyces cerevisiae and gene promoters. Therefore, there is",False,,0,0
fixed_top5_compact_fallback,Fixed Top-5 Compact + Fallback,fixed_top5,compact_then_full_fallback,294,5,1028,80,1108,provider,2267,0.137931,1.0,0.3,0.0,0.0,"[""13949015"", ""10086360"", ""32638085"", ""25799020"", ""9704467""]","The evidence is insufficient. None of the provided documents mention crossover hot spots in relation to gene promoters in Saccharomyces cerevisiae. While Document 3 mentions Saccharomyces cerevisiae and gene promoters, it does not discuss crossover hot spots. Document 2 discusses meiotic crossovers and hotspots in the mouse MHC Ebeta gene, but not in Saccharomyces",False,,1108,0
full_safe_adaptive,Full Safe Adaptive Context,safe_adaptive,compact_then_full_fallback,294,3,580,80,660,provider,2272,0.125,1.0,0.288675,0.0,0.0,"[""13949015"", ""10086360"", ""32638085""]","The evidence is insufficient. The provided documents do not contain information about crossover hot spots in relation to gene promoters in Saccharomyces cerevisiae. While Document 3 mentions Saccharomyces cerevisiae and gene promoters, it discusses histone acetylation and does not mention crossover hot spots. Documents 1 and 2 discuss different topics and do not provide relevant information to answer the question",False,,660,0
fixed_top10_full,Fixed Top-10,fixed_top10,full,298,10,2744,80,2824,provider,2682,0.376812,0.923077,0.68973,0.5,0.333333,"[""23887844"", ""23403754"", ""39381118"", ""13931771"", ""24863571"", ""9588931"", ""797114"", ""40232172"", ""15836115"", ""21246752""]","The evidence is sufficient to confirm that cytochrome c is released from the mitochondrial intermembrane space to the cytosol during apoptosis. This is explicitly stated in Documents 3, 6, and 9. 

Document 3 mentions that ""apoptosis that proceeds via the mitochondrial pathway involves mitochondrial outer membrane permeabilization (MOMP), responsible for the release of cytochrome c",False,,0,0
adaptive_compact_only,Adaptive Compact Only,adaptive_budget,evidence_ngram_neighbors,298,3,664,80,744,provider,2231,0.366197,0.923077,0.727273,0.5,0.333333,"[""23887844"", ""23403754"", ""39381118""]","The evidence is sufficient to confirm that cytochrome c is released from the mitochondrial intermembrane space to cytosol during apoptosis. According to Document 3, ""Apoptosis that proceeds via the mitochondrial pathway involves mitochondrial outer membrane permeabilization (MOMP), responsible for the release of cytochrome c and other proteins of the mitochondrial intermembrane space."" This directly supports the statement.",False,,0,0
adaptive_full_only,Adaptive Full Only,adaptive_budget,full,298,3,797,80,877,provider,3249,0.361111,0.923077,0.724286,0.5,0.333333,"[""23887844"", ""23403754"", ""39381118""]","The evidence is sufficient to confirm that cytochrome c is released from the mitochondrial intermembrane space to cytosol during apoptosis. According to Document 3, ""Apoptosis that proceeds via the mitochondrial pathway involves mitochondrial outer membrane permeabilization (MOMP), responsible for the release of cytochrome c and other proteins of the mitochondrial intermembrane space."" This directly supports the statement in",False,,0,0
fixed_top5_compact_fallback,Fixed Top-5 Compact + Fallback,fixed_top5,compact_then_full_fallback,298,5,928,80,1008,provider,5830,0.366197,0.923077,0.743877,0.5,0.333333,"[""23887844"", ""23403754"", ""39381118"", ""13931771"", ""24863571""]","The evidence is sufficient to confirm that cytochrome c is released from the mitochondrial intermembrane space to the cytosol during apoptosis. This is stated in Document 3: ""Apoptosis that proceeds via the mitochondrial pathway involves mitochondrial outer membrane permeabilization (MOMP), responsible for the release of cytochrome c and other proteins of the mitochondrial intermembrane space."" Additionally, Document",False,,1008,0
full_safe_adaptive,Full Safe Adaptive Context,safe_adaptive,compact_then_full_fallback,298,3,664,80,744,provider,4417,0.366197,0.923077,0.727273,0.5,0.333333,"[""23887844"", ""23403754"", ""39381118""]","The evidence is sufficient to confirm that cytochrome c is released from the mitochondrial intermembrane space to cytosol during apoptosis. According to Document 3, ""Apoptosis that proceeds via the mitochondrial pathway involves mitochondrial outer membrane permeabilization (MOMP), responsible for the release of cytochrome c and other proteins of the mitochondrial intermembrane space."" This directly supports the statement.",False,,744,0
fixed_top10_full,Fixed Top-10,fixed_top10,full,3,10,2535,80,2615,provider,4430,0.109589,1.0,0.404226,0.5,0.333333,"[""23389795"", ""2739854"", ""14717500"", ""4632921"", ""8411251"", ""3672261"", ""4378885"", ""32181055"", ""4414547"", ""14019636""]","The evidence is insufficient to confirm that the 1,000 genomes project enables mapping of genetic sequence variation consisting of rare variants with larger penetrance effects than common variants. While the documents discuss the importance of rare variants and their potential impact on disease susceptibility, they do not specifically mention the 1,000 genomes project in this context. Document 6 mentions the 1,000 genomes project in the context",False,,0,0
adaptive_compact_only,Adaptive Compact Only,adaptive_budget,evidence_ngram_neighbors,3,3,621,80,701,provider,4993,0.108108,1.0,0.410997,0.5,0.333333,"[""23389795"", ""2739854"", ""14717500""]","The evidence is insufficient to directly support the statement that the 1,000 genomes project enables mapping of genetic sequence variation consisting of rare variants with larger penetrance effects than common variants. While the documents discuss the concepts of rare and common variants, their effects on disease susceptibility, and the challenges of identifying causal loci, they do not specifically mention the 1,000 genomes project or its role in mapping",False,,0,0
adaptive_full_only,Adaptive Full Only,adaptive_budget,full,3,3,743,75,818,provider,2303,0.114286,1.0,0.400892,0.5,0.333333,"[""23389795"", ""2739854"", ""14717500""]","The evidence is insufficient to directly support the statement that the 1,000 genomes project enables mapping of genetic sequence variation consisting of rare variants with larger penetrance effects than common variants. While the documents discuss the importance of rare variants and their potential impact on disease susceptibility, they do not specifically mention the 1,000 genomes project or its role in mapping genetic sequence variation.",False,,0,0
fixed_top5_compact_fallback,Fixed Top-5 Compact + Fallback,fixed_top5,compact_then_full_fallback,3,5,959,80,1039,provider,2268,0.109589,1.0,0.366205,0.5,0.333333,"[""23389795"", ""2739854"", ""14717500"", ""4632921"", ""8411251""]","The evidence is insufficient to confirm that the 1,000 genomes project enables mapping of genetic sequence variation consisting of rare variants with larger penetrance effects than common variants. While the documents discuss the concepts of rare and common variants, their effects on disease susceptibility, and the identification of genetic variants, they do not specifically mention the 1,000 genomes project or its role in mapping genetic sequence variation.",False,,1039,0
full_safe_adaptive,Full Safe Adaptive Context,safe_adaptive,compact_then_full_fallback,3,3,621,80,701,provider,2260,0.108108,1.0,0.402911,0.5,0.333333,"[""23389795"", ""2739854"", ""14717500""]","The evidence is insufficient to directly support the statement that the 1,000 genomes project enables mapping of genetic sequence variation consisting of rare variants with larger penetrance effects than common variants. While the documents discuss the concepts of rare and common variants, their effects, and the challenges of identifying causal loci, they do not specifically mention the 1,000 genomes project or its role in mapping genetic sequence variation",False,,701,0
fixed_top10_full,Fixed Top-10,fixed_top10,full,300,10,3204,80,3284,provider,2687,0.117647,1.0,0.276699,0.386853,0.2,"[""16120395"", ""15551129"", ""4421742"", ""6828370"", ""3553087"", ""25937484"", ""27889071"", ""3321943"", ""13338820"", ""2062382""]","The evidence is insufficient to confirm that cytosolic proteins bind to iron-responsive elements on mRNAs coding for DMT1 or proteins involved in iron uptake. None of the provided documents directly mention the binding of cytosolic proteins to iron-responsive elements on mRNAs coding for DMT1 or proteins involved in iron uptake. While some documents discuss iron regulation, iron-responsive elements, and the importance",False,,0,0
adaptive_compact_only,Adaptive Compact Only,adaptive_budget,evidence_ngram_neighbors,300,3,743,80,823,provider,2265,0.123077,1.0,0.200805,0.0,0.0,"[""16120395"", ""15551129"", ""4421742""]","The evidence is insufficient to confirm that cytosolic proteins bind to iron-responsive elements on mRNAs coding for DMT1 or proteins involved in iron uptake. The provided documents discuss iron homeostasis, iron uptake, and iron-responsive genes, but they do not specifically mention cytosolic proteins binding to iron-responsive elements on mRNAs coding for DMT1 or proteins involved in iron uptake.",False,,0,0
adaptive_full_only,Adaptive Full Only,adaptive_budget,full,300,3,906,80,986,provider,2221,0.121212,1.0,0.202777,0.0,0.0,"[""16120395"", ""15551129"", ""4421742""]","The evidence is insufficient to confirm that cytosolic proteins bind to iron-responsive elements on mRNAs coding for DMT1 or proteins involved in iron uptake. The provided documents discuss iron homeostasis, iron uptake, and iron regulation in various organisms, but they do not specifically mention cytosolic proteins binding to iron-responsive elements on mRNAs coding for DMT1 or proteins involved in iron",False,,0,0
fixed_top5_compact_fallback,Fixed Top-5 Compact + Fallback,fixed_top5,compact_then_full_fallback,300,5,1171,73,1244,provider,2115,0.131148,1.0,0.218426,0.386853,0.2,"[""16120395"", ""15551129"", ""4421742"", ""6828370"", ""3553087""]","The evidence is insufficient to confirm that cytosolic proteins bind to iron-responsive elements on mRNAs coding for DMT1 or proteins involved in iron uptake. While the documents mention iron-responsive elements and iron uptake, they do not specifically mention cytosolic proteins binding to these elements on mRNAs coding for DMT1 or proteins involved in iron uptake.",False,,1244,0
full_safe_adaptive,Full Safe Adaptive Context,safe_adaptive,compact_then_full_fallback,300,3,743,79,822,provider,2165,0.126984,1.0,0.204808,0.0,0.0,"[""16120395"", ""15551129"", ""4421742""]","The evidence is insufficient to confirm that cytosolic proteins bind to iron-responsive elements on mRNAs coding for DMT1 or proteins involved in iron uptake. While the documents discuss iron regulation, iron uptake, and iron homeostasis, they do not specifically mention cytosolic proteins binding to iron-responsive elements on mRNAs coding for DMT1 or proteins involved in iron uptake.",False,,822,0
fixed_top10_full,Fixed Top-10,fixed_top10,full,324,10,3420,80,3500,provider,2681,0.112676,1.0,0.406894,0.386853,0.2,"[""23816832"", ""4658268"", ""24612804"", ""654735"", ""2014909"", ""5260382"", ""36345185"", ""6386930"", ""24721866"", ""45449835""]","The evidence is insufficient to determine whether deleting Raptor reduces G-CSF levels. The provided documents do not contain direct information about the relationship between Raptor deletion and G-CSF levels. While some documents mention Raptor and G-CSF separately, there is no clear connection between the two in the context of Raptor deletion. Therefore, it is not possible to conclude whether deleting Raptor reduces G-CS",False,,0,0
adaptive_compact_only,Adaptive Compact Only,adaptive_budget,evidence_ngram_neighbors,324,3,481,64,545,provider,1959,0.156863,1.0,0.444444,0.0,0.0,"[""23816832"", ""4658268"", ""24612804""]","The evidence is insufficient. The provided documents do not contain information about the relationship between Raptor and G-CSF levels. They discuss unrelated topics, such as multiple sclerosis diagnosis, the mTOR pathway, and granulopoiesis, but do not mention the effect of deleting Raptor on G-CSF levels.",False,,0,0
adaptive_full_only,Adaptive Full Only,adaptive_budget,full,324,3,982,71,1053,provider,4321,0.140351,1.0,0.466628,0.0,0.0,"[""23816832"", ""4658268"", ""24612804""]","The provided documents do not contain enough evidence to determine whether deleting Raptor reduces G-CSF levels. The documents discuss various topics, including multiple sclerosis, the mTOR pathway, and granulopoiesis, but do not provide a direct link between Raptor deletion and G-CSF levels. Therefore, the evidence is insufficient to answer the question.",False,,0,0
fixed_top5_compact_fallback,Fixed Top-5 Compact + Fallback,fixed_top5,compact_then_full_fallback,324,5,793,72,865,provider,3932,0.148148,1.0,0.401478,0.386853,0.2,"[""23816832"", ""4658268"", ""24612804"", ""654735"", ""2014909""]","The evidence is insufficient. The provided documents do not contain information about the relationship between Raptor and G-CSF levels. They discuss various topics such as multiple sclerosis, mTOR pathway, granulopoiesis, glioma, and myeloid-derived suppressor cells, but do not mention the effect of deleting Raptor on G-CSF levels.",False,,865,0
full_safe_adaptive,Full Safe Adaptive Context,safe_adaptive,compact_then_full_fallback,324,3,481,63,544,provider,4492,0.156863,1.0,0.444444,0.0,0.0,"[""23816832"", ""4658268"", ""24612804""]","The evidence is insufficient. The provided documents do not contain information about the relationship between Raptor and G-CSF levels. They discuss various topics such as multiple sclerosis diagnosis, the mTOR pathway, and granulopoiesis, but do not mention the effect of deleting Raptor on G-CSF levels.",False,,544,0
fixed_top10_full,Fixed Top-10,fixed_top10,full,350,10,2864,61,2925,provider,5957,0.484848,0.882353,0.771589,1.0,1.0,"[""16927286"", ""16242975"", ""23342686"", ""39729277"", ""24863571"", ""13072112"", ""34498325"", ""2479538"", ""8698857"", ""2099400""]","The evidence is insufficient to confirm that discrimination between the initiator and elongation tRNAs depends on the translation initiation factor IF3. While the documents mention IF3 and its role in translation initiation, they do not provide direct evidence of its involvement in discriminating between initiator and elongation tRNAs.",False,,0,0
adaptive_compact_only,Adaptive Compact Only,adaptive_budget,evidence_ngram_neighbors,350,3,701,80,781,provider,4050,0.361446,0.823529,0.625543,1.0,1.0,"[""16927286"", ""16242975"", ""23342686""]","The evidence is insufficient to directly answer the question. While the documents mention the role of IF3 in translation initiation and its interaction with tRNA, they do not explicitly state that discrimination between initiator and elongation tRNAs depends on IF3. However, Document 1 suggests that IF3 plays a role in the selection of initiator tRNA, which implies that it may be involved in discriminating between",False,,0,0
adaptive_full_only,Adaptive Full Only,adaptive_budget,full,350,3,849,80,929,provider,3768,0.357143,0.823529,0.612372,1.0,1.0,"[""16927286"", ""16242975"", ""23342686""]","The evidence is insufficient to directly answer the question. While the documents mention the role of IF3 in translation initiation and its interaction with tRNA, they do not explicitly state that discrimination between initiator and elongation tRNAs depends on IF3. However, Document 1 suggests that IF3 plays a role in the selection of initiator tRNA, but it does not provide enough information to confirm the specific",False,,0,0
fixed_top5_compact_fallback,Fixed Top-5 Compact + Fallback,fixed_top5,compact_then_full_fallback,350,5,1186,59,1245,provider,1753,0.5,0.882353,0.771589,1.0,1.0,"[""16927286"", ""16242975"", ""23342686"", ""39729277"", ""24863571""]","The evidence is insufficient to confirm that discrimination between the initiator and elongation tRNAs depends on the translation initiation factor IF3. While the documents mention the role of IF3 in translation initiation, they do not explicitly state its role in discriminating between initiator and elongation tRNAs.",False,,1245,0
full_safe_adaptive,Full Safe Adaptive Context,safe_adaptive,compact_then_full_fallback,350,3,701,80,781,provider,2374,0.357143,0.823529,0.628281,1.0,1.0,"[""16927286"", ""16242975"", ""23342686""]","The evidence is insufficient to directly answer the question. While the documents mention the role of IF3 in translation initiation and its interaction with tRNA, they do not explicitly state that discrimination between initiator and elongation tRNAs depends on IF3. However, Document 1 suggests that IF3 plays a role in the selection of initiator tRNA, but it does not provide a clear statement about discrimination between",False,,781,0
fixed_top10_full,Fixed Top-10,fixed_top10,full,362,10,2734,80,2814,provider,2680,0.114286,1.0,0.464835,1.0,1.0,"[""38587347"", ""38528892"", ""43619625"", ""8629328"", ""27647593"", ""23305884"", ""26735905"", ""15488881"", ""37182501"", ""12324049""]","The evidence is insufficient to confirm that during the primary early antibody response, activated B cells migrate toward the inner-and outer paracortical areas where oxysterol accumulation is generated by stromal cells. While Document 1 mentions the migration of activated B cells to the T zone and the role of chemokines and the orphan receptor EBI2 in guiding B cells, it does not specifically mention ox",False,,0,0
adaptive_compact_only,Adaptive Compact Only,adaptive_budget,evidence_ngram_neighbors,362,3,854,80,934,provider,2369,0.112676,1.0,0.438948,1.0,1.0,"[""38587347"", ""38528892"", ""43619625""]","The evidence is insufficient to answer the question. The provided documents do not mention the migration of activated B cells toward the inner-and outer paracortical areas or the generation of oxysterol accumulation by stromal cells. While Document 1 discusses B-cell migration and the role of chemokines and receptors in guiding B cells to specific niches, it does not provide information about the specific location or",False,,0,0
adaptive_full_only,Adaptive Full Only,adaptive_budget,full,362,3,882,80,962,provider,2330,0.114286,1.0,0.458333,1.0,1.0,"[""38587347"", ""38528892"", ""43619625""]","The evidence is insufficient to confirm that during the primary early antibody response, activated B cells migrate toward the inner-and outer paracortical areas where oxysterol accumulation is generated by stromal cells. 

While Document 1 discusses the migration of activated B cells in the context of humoral immune responses and the role of various chemokines and receptors, it does not specifically mention the migration of activated",False,,0,0
fixed_top5_compact_fallback,Fixed Top-5 Compact + Fallback,fixed_top5,compact_then_full_fallback,362,5,1276,80,1356,provider,2317,0.115942,1.0,0.402492,1.0,1.0,"[""38587347"", ""38528892"", ""43619625"", ""8629328"", ""27647593""]","The evidence is insufficient. The provided documents do not contain information about oxysterol accumulation generated by stromal cells in the inner and outer paracortical areas during the primary early antibody response. While Document 1 discusses B-cell migration and the role of stromal cells in guiding B cells to specific niches, it does not mention oxysterol accumulation. The other documents do not provide relevant information",False,,1356,0
full_safe_adaptive,Full Safe Adaptive Context,safe_adaptive,compact_then_full_fallback,362,3,854,80,934,provider,2172,0.112676,1.0,0.438948,1.0,1.0,"[""38587347"", ""38528892"", ""43619625""]","The evidence is insufficient to answer the question. The provided documents do not mention the migration of activated B cells toward the inner-and outer paracortical areas or the generation of oxysterol accumulation by stromal cells. While Document 1 discusses B-cell migration and the role of chemokines and receptors in guiding B cells to specific niches, it does not provide information about the specific location or",False,,934,0
fixed_top10_full,Fixed Top-10,fixed_top10,full,380,10,3162,80,3242,provider,2776,0.337349,0.823529,0.614828,0.63093,0.5,"[""2248870"", ""19005293"", ""7639744"", ""32556431"", ""46617075"", ""17021845"", ""32450297"", ""23509113"", ""12145359"", ""1574014""]","The evidence is insufficient to directly answer the question. However, Document 2 provides some relevant information. It states that memory CD4+ T cells enhance the production of innate inflammatory cytokines and chemokines in the lung, which leads to early control of the virus during influenza infection. This suggests that enhanced early production of inflammatory chemokines may improve viral control in the lung, but it does not",False,,0,0
